Titulo,Año,Duracion,Genero,Clasificacion,Descripcion,Estrellas,votes,Tipo,duracion_num,genero_principal,duration_min,link
De Reünie,(2015),99 min,"Drama, Mystery",5.5,"Sabine is looking for the truth behind the disappearance of her best friend twenty years ago. An encounter with Olaf, a handsome man she met in her teenage years, and the announcement of a high school reunion turns her life upside down.","['Menno Meyjes', '| ', '    Stars:', 'Thekla Reuten, ', 'Daan Schuurmans, ', 'Marie-Mae van Zuilen, ', 'Daantje Idelenburg']",644,Pelicula,99.0,Drama,99.0,https://image.tmdb.org/t/p/w500/3vnusLxt0feVAykdnEuQ60ozhog.jpg
De brief voor de koning,(2008),110 min,Adventure,5.9,"The medieval quest of sixteen-year old Tiuri, who risks his future as a Knight to fulfill a promise, and in so doing discovers adventure, honor, valor and love.","['Pieter Verhoeff', '| ', '    Stars:', 'Yannick van de Velde, ', 'Quinten Schram, ', 'Rüdiger Vogler, ', 'Lars Rudolph']","1,429",Pelicula,110.0,Adventure,110.0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/The_Letter_for_the_King.jpeg/250px-The_Letter_for_the_King.jpeg
De film van Dylan Haegens,(2018),81 min,"Adventure, Comedy, Family",4.1,Dylan is very successful at running his own lunchroom and YouTube channel. Then IJsbrand comes into his life and copies everything he does. Dylan decides to get to the bottom of this and puts fame and friendship at risk.,"['Dylan Haegens, ', 'Bas van Teylingen', '| ', '    Stars:', 'Dylan Haegens, ', 'Nick Golterman, ', 'Teun Peters, ', 'Marit Brugman']",561,Pelicula,81.0,Adventure,81.0,https://image.tmdb.org/t/p/w500/elkvu1QG9vyRBDx5MMRnn6G7lh.jpg
De gelukkige huisvrouw,(2010),100 min,"Comedy, Drama, Romance",6.7,"After giving birth to her first child, a happily-married woman sees her picture-perfect life spiral out of control.","['Antoinette Beumer', '| ', '    Stars:', 'Carice van Houten, ', 'Marcel Hensema, ', 'Jaap Spijkers, ', 'Isis Cabolet']","2,887",Pelicula,100.0,Comedy,100.0,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/The_Happy_Housewife.jpg/250px-The_Happy_Housewife.jpg
De held,(2016),96 min,"Crime, History, Thriller",5.1,Sara Silverstein suddenly finds herself involved in various violent attacks. She realizes she needs to unravel her father's past to stop this threat.,"['Menno Meyjes', '| ', '    Stars:', 'Fedja van Huêt, ', 'Markoesa Hamer, ', 'Monic Hendrickx, ', 'Thijs Boermans']",437,Serie,96.0,Crime,96.0,https://image.tmdb.org/t/p/w500/usqT2LiiDvHfhpcCP5oGtYc3gTQ.jpg
De nog grotere slijmfilm,(2021),81 min,Adventure,4.6,Add a Plot,"['Martijn Smits', '| ', '    Stars:', 'Denise Aznam, ', 'Aaron Bezemer, ', 'Quinn Bezemer, ', 'Bibi']",79,Pelicula,81.0,Adventure,81.0,https://image.tmdb.org/t/p/w500/wqVybeRgb6V7MxcQvHAu4yOVWbs.jpg
De verbouwing,(2012),101 min,"Drama, Thriller",6.0,"Tessa opens her luxurious clinic with a big party. She is smart, beautiful, savvy, and happily married with an intelligent adolescent son. But appearances are deceptive. In reality, her ...                See full summary »","['Will Koopman', '| ', '    Stars:', 'Tjitske Reidinga, ', 'Mark Rietman, ', 'Nanette Drazic, ', 'Terence Schreurs']","1,359",Pelicula,101.0,Drama,101.0,https://image.tmdb.org/t/p/w500/cUI1MOuWhZVxhPQ4qBLFWXpMsjV.jpg
DeMarcus Family Rules,(2020),45 min,Reality-TV,6.4,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.,"['Allison DeMarcus, ', 'Jay DeMarcus, ', 'Paige Dennis, ', 'Jane Alderson']",112,Serie,,Reality-TV,45.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
DeRay Davis: How to Act Black,(2017 TV Special),66 min,Comedy,6.2,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man.","['Marcus Raboy', '| ', '    Star:', 'DeRay Davis']",451,Pelicula,66.0,Comedy,66.0,https://image.tmdb.org/t/p/w500/pNq6O6e3QbR9FzO9CeQwT12xhAo.jpg
Dead & Nowhere,(2008),90 min,"Crime, Thriller",2.5,"Homicide cop Ray Maldonado has found a third dead hooker in as many days. The realization that he's got a serial killer on his hands hits him. Wanting to stop the string of murders, ...                See full summary »","['Russ Barnes', '| ', '    Stars:', 'Pat Asanti, ', 'Leah Ann Cevoli, ', 'Angelo Di Mascio Jr., ', 'Cathy Giannone']",19,Pelicula,90.0,Crime,90.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Dead End: Paranormal Park,(2022– ),30 min,"Animation, Adventure, Comedy",6.5,Two teens and a talking pug team up to battle demons at a haunted theme park and maybe even save the world from a supernatural apocalypse.,"['Zach Barack, ', 'Kody Kavitha, ', 'Emily Osment, ', 'Clinton Leupp']","1,926",Serie,30.0,Animation,30.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Deadendtitlecard.png/250px-Deadendtitlecard.png
Dead Kids,(2019),98 min,Thriller,5.4,A socially awkward teen bonds with a group of misfits who plot to abduct the schools arrogant rich kid until their kidnapping scheme turns deadly.,"['Mikhail Red', '| ', '    Stars:', 'Kelvin Miranda, ', 'Vance Larena, ', 'Khalil Ramos, ', 'Jan Silverio']",585,Serie,98.0,Thriller,98.0,https://image.tmdb.org/t/p/w500/tIBEsnzhz5NE1KTzwyvJlFIGEhg.jpg
Dead Man Down,(2013),118 min,"Action, Crime, Drama",6.4,"In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.","['Niels Arden Oplev', '| ', '    Stars:', 'Colin Farrell, ', 'Noomi Rapace, ', 'Dominic Cooper, ', 'Terrence Howard']","68,250",Pelicula,118.0,Action,118.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Dead_Man_Down_Theatrical_Poster.jpg/250px-Dead_Man_Down_Theatrical_Poster.jpg
Dead Places,(2021– ),45 min,"Adventure, Horror, Thriller",6.3,"An author who has dedicated his career to solving paranormal cases, returns home to South Africa to investigate the biggest mystery of his life: His sister's death in a water canal 20 years ago.","['Shamilla Miller, ', 'Anthony Oseyemi, ', 'Rea Rangaka, ', 'Shalom Nyandiko']","1,462",Serie,45.0,Adventure,45.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Dead Poets Society,(1989),128 min,"Comedy, Drama",8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"['Peter Weir', '| ', '    Stars:', 'Robin Williams, ', 'Robert Sean Leonard, ', 'Ethan Hawke, ', 'Josh Charles']","484,465",Pelicula,128.0,Comedy,128.0,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Dead_poets_society.png/250px-Dead_poets_society.png
Dead Time,(2007),102 min,"Crime, Fantasy, Thriller",7.0,A jaded cop. A narcoleptic journalist. A nation divided. A Fantasy you'd wish never come true.,"['Joko Anwar', '| ', '    Stars:', 'Donny Alamsyah, ', 'Fachry Albar, ', 'Ario Bayu, ', 'Fahrani']","1,037",Pelicula,102.0,Crime,102.0,https://image.tmdb.org/t/p/w500/icH8kEffbWiqgfkzbGuDYGyuy6x.jpg
Dead in Tombstone,(2013 Video),100 min,"Action, Fantasy, Horror",4.8,"A leader killed by his own gang, gets offered a chance by Satan himself to escape damnation.","['Roel Reiné', '| ', '    Stars:', 'Danny Trejo, ', 'Mickey Rourke, ', 'Anthony Michael Hall, ', 'Dina Meyer']","5,623",Pelicula,100.0,Action,100.0,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Dead_in_Tombstone_poster.jpg/250px-Dead_in_Tombstone_poster.jpg
Dead to Me,(2019–2022),32 min,"Comedy, Crime, Drama",8.7,"Filled with guilt and regret, Jen finds a civic-minded way to unleash some pent-up feelings. Judy revisits her past. The police uncover a new lead.","['Silver Tree', '| ', '    Stars:', 'Christina Applegate, ', 'Linda Cardellini, ', 'James Marsden, ', 'Max Jenkins']","1,267",Serie,32.0,Comedy,32.0,https://image.tmdb.org/t/p/w500/b5PfU32gMNKDL2GFkMPLCttGGa2.jpg
Deadly Class,(2018–2019),60 min,"Action, Adventure, Comedy",7.5,"A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.","['Benedict Wong, ', 'Benjamin Wadsworth, ', 'Lana Condor, ', 'María Gabriela de Faría']","17,740",Serie,60.0,Action,60.0,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Deadly_Class_1_by_Rick_Remender%2C_cover_art_by_Wesley_Craig%2C_January_2014.jpg/250px-Deadly_Class_1_by_Rick_Remender%2C_cover_art_by_Wesley_Craig%2C_January_2014.jpg
Deadly Illusions,(2021),114 min,"Drama, Thriller",3.7,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.","['Anna Elizabeth James', '| ', '    Stars:', 'Dermot Mulroney, ', 'Kristin Davis, ', 'Shanola Hampton, ', 'Greer Grammer']","12,204",Pelicula,114.0,Drama,114.0,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Deadly_Illusions_film_poster.png/250px-Deadly_Illusions_film_poster.png
Deadly Runway,(2018 TV Movie),90 min,"Drama, Horror",4.5,"When a psychotic fashion photographer turns a nerdish high school student into a superstar model, her obsession with him drives her to homicidal madness.","['Doug Campbell', '| ', '    Stars:', 'Linsey Godfrey, ', 'Joshua Hoffman, ', 'Jamie Luner, ', 'Elle Army']",199,Serie,90.0,Drama,90.0,https://image.tmdb.org/t/p/w500/pwE2D9uUur5qXJzR23NGcmonx0P.jpg
Deadly Switch,(2019),87 min,"Mystery, Thriller",4.5,"When a foreign exchange student, Ana, studying abroad in America becomes the target of a dangerous stalker, she accepts the invitation to move in with her roommate's family in their idyllic town.","['Svetlana Cvetko', '| ', '    Stars:', 'Hayley McLaughlin, ', 'Danika Yarosh, ', 'Dylan Walsh, ', 'Teri Polo']","1,396",Pelicula,87.0,Mystery,87.0,https://image.tmdb.org/t/p/w500/hP65ZoJVJbOl6BxVrNIkRyj1eX4.jpg
Deadman Wonderland,(2011),24 min,"Animation, Action, Drama",7.1,"After being falsely convicted for the murder of his entire class, a young man must learn to survive in a mysterious prison with a perverted take on incarceration while also looking to clear his name.","['Monica Rial, ', 'Greg Ayres, ', 'Romi Park, ', 'Kana Hanazawa']","10,728",Serie,24.0,Animation,24.0,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Deadman_Wonderland_vol_01.png/250px-Deadman_Wonderland_vol_01.png
Deaf U,(2020– ),45 min,"Drama, Reality-TV",6.4,"Deaf U follows a group of students attending Gallaudet University, a private college catering to the deaf and hard of hearing. For DiMarco, the goal of the series is to show deaf people as humans, from all walks of life.","['Rodney Burford, ', 'Alexa Paulay-Simmons, ', 'Cheyenna Clearbrook, ', 'Dalton Taylor']",471,Serie,,Drama,45.0,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Deaf_U_poster.jpg/250px-Deaf_U_poster.jpg
Dealer,(I) (2014),75 min,"Action, Crime, Thriller",6.3,"As he dreams of moving to Australia with his daughter to become a pastry chef, a Parisian small-time drug dealer accepts a one-time only, big cocaine deal. What starts as a simple score becomes a tale of survival in the local criminal underworld.","['Jean Luc Herbulot', '| ', '    Stars:', 'Dan Bronchinson, ', 'Elsa Madeleine, ', 'Salem Kali, ', 'Bruno Henry']",556,Pelicula,75.0,Action,75.0,https://image.tmdb.org/t/p/w500/9NUrbiDGpHPZGTzJU88tAkx1l2w.jpg
Dealin' with Idiots,(2013),88 min,Comedy,5.4,"After experiencing the insanity of the adults connected to his son's baseball team, a comedian researches for a comedy movie about them.","['Jeff Garlin', '| ', '    Stars:', 'Jeff Garlin, ', 'Steve Agee, ', 'Gina Gershon, ', 'Jami Gertz']","1,433",Pelicula,88.0,Comedy,88.0,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Dealin%27_With_Idiots_poster.jpg/250px-Dealin%27_With_Idiots_poster.jpg
Dear Ex,(2018),100 min,"Comedy, Drama, Romance",7.3,A teenage boy and his mother are further driven apart when they find out that his father's life insurance policy is to be received by his lover.,"['Chih-Yen Hsu, ', 'Mag Hsu', '| ', '    Stars:', 'Roy Chiu, ', 'Ying-Hsuan Hsieh, ', 'Spark Chen, ', 'Joseph Huang']","6,421",Serie,100.0,Comedy,100.0,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Dear_Ex_Netflix_Edition_poster.jpg/250px-Dear_Ex_Netflix_Edition_poster.jpg
Dear Mother,(2020),98 min,Comedy,5.8,"One day, Jean-Louis discovers that his heart has stopped. He is not dead, can walk and talk, but his heart is no longer beating. With the help of his wife and a friend, he tries to understand the origin of this mystery.","['Laurent Lafitte', '| ', '    Stars:', 'Laurent Lafitte, ', 'Karin Viard, ', 'Vincent Macaigne, ', 'Hélène Vincent']","1,529",Serie,98.0,Comedy,98.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/The_Gentle_Storm_Rockharz_2015_18_%28cropped%29.jpg/250px-The_Gentle_Storm_Rockharz_2015_18_%28cropped%29.jpg
Dear Mr. Watterson,(2013),89 min,Documentary,6.3,"A documentary about the impact of the newspaper comic strip ""Calvin and Hobbes"", created by Bill Watterson.","['Joel Allen Schroeder', '| ', '    Stars:', 'Berkeley Breathed, ', 'Jef Mallett, ', 'Stephan Pastis, ', 'Seth Green']","1,917",Serie,89.0,Documentary,89.0,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Dear_Mr._Watterson.jpg/250px-Dear_Mr._Watterson.jpg
Dear Nathan,(2017),99 min,"Drama, Romance",6.8,"When Nathan (Jefri Nichol) seriously starts to change for Salma (Amanda Rawles), Nathan's past love comes to ask for Nathan's love back.","['Indra Gunawan', '| ', '    Stars:', 'Amanda Rawles, ', 'Jefri Nichol, ', 'Surya Saputra, ', 'Rayn Wijaya']",547,Pelicula,99.0,Drama,99.0,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Dear_Nathan.jpg/250px-Dear_Nathan.jpg
Dear Nathan Hello Salma,(2018),101 min,"Drama, Romance",7.1,"Sequel to the 2017 movie ""Dear Nathan"" follows the continued relationship between two young people in love.","['Indra Gunawan', '| ', '    Stars:', 'Jefri Nichol, ', 'Amanda Rawles, ', 'Susan Sameh, ', 'Devano Danendra']",325,Pelicula,101.0,Drama,101.0,https://image.tmdb.org/t/p/w500/pFrJFcqmZeqVlpuDe2h9hJ1CxUt.jpg
Dear Nathan: Thank You Salma,(2022),112 min,"Drama, Romance",7.2,Nathan and Salma enter the world of social activism. Salma chooses to express himself digitally while Nathan chooses to take to the streets. This difference sparked a big fight when Nathan is involved in a big riot at a demonstration.,"['Kuntz Agus', '| ', '    Stars:', 'Amanda Rawles, ', 'Jefri Nichol, ', 'Ardhito Pramono, ', 'Indah Permatasari']",135,Pelicula,112.0,Drama,112.0,https://image.tmdb.org/t/p/w500/gl0eVGJW8VlwpR91AFDe2m8TO0S.jpg
Dear White People,(2017–2021),30 min,"Comedy, Drama",6.1,"At a predominantly white Ivy League college, a group of black students navigate various forms of racial and other types of discrimination.","['Logan Browning, ', 'Brandon P Bell, ', 'DeRon Horton, ', 'Antoinette Robertson']","25,414",Serie,30.0,Comedy,30.0,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Dear_White_People.jpg/250px-Dear_White_People.jpg
Death Clique,(2014 TV Movie),83 min,"Crime, Drama, Mystery",5.4,A jealous rivalry between three high school girls leads to a shocking crime.,"['Doug Campbell', '| ', '    Stars:', 'Barbara Alyn Woods, ', 'Tina Ivlev, ', 'Lexi Ainsworth, ', 'Brittany Underwood']","1,352",Serie,83.0,Crime,83.0,https://image.tmdb.org/t/p/w500/teieNkUqwID5wTsRaK3yeKXFoFC.jpg
Death Note,(2006–2007),24 min,"Animation, Crime, Drama",9.0,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"['Mamoru Miyano, ', 'Brad Swaile, ', 'Vincent Tong, ', 'Ryô Naitô']","316,300",Serie,24.0,Animation,24.0,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Death_Note_Vol_1.jpg/250px-Death_Note_Vol_1.jpg
Death Office,(2019),99 min,"Drama, Fantasy",7.2,"People who have just died visit the death office. There, the following destinations are decided.","['Marika Matsumoto, ', 'Yuina Kuroshima, ', 'Denden, ', 'Masahiro Matsuoka']",30,Pelicula,,Drama,99.0,https://image.tmdb.org/t/p/w500/5EPSCj8MMjhmFCFJeigivin5H9.jpg
Death Warrant,(1990),89 min,"Action, Crime, Mystery",5.6,"In a violent and corrupt prison, decorated cop Louis Burke must infiltrate the jail to find answers to a number of inside murders. What he finds is a struggle of life and death tied in to his own past.","['Deran Sarafian', '| ', '    Stars:', 'Jean-Claude Van Damme, ', 'Robert Guillaume, ', 'Cynthia Gibb, ', 'George Dickerson']","19,026",Pelicula,89.0,Action,89.0,https://image.tmdb.org/t/p/w500/gzAc9X9HNaITD0GKvjlpvDBIXsb.jpg
Death Wish,(2018),107 min,"Action, Crime, Drama",6.3,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.","['Eli Roth', '| ', '    Stars:', 'Bruce Willis, ', ""Vincent D'Onofrio, "", 'Elisabeth Shue, ', 'Camila Morrone']","72,384",Pelicula,107.0,Action,107.0,https://image.tmdb.org/t/p/w500/3hkImCSIM8ROpTSA8EF2joYdBNd.jpg
Death and Cremation,(2010),86 min,"Drama, Horror, Thriller",5.6,"In a typical American suburb filled with middle class morals, a lonely 59-year-old, Stan, contributes to society by offering cremation services from his basement. In fact, Stan murders ...                See full summary »","['Justin Steele', '| ', '    Stars:', 'Brad Dourif, ', 'Jeremy Sumpter, ', 'Scott Elrod, ', 'Debbon Ayer']",776,Pelicula,86.0,Drama,86.0,https://upload.wikimedia.org/wikipedia/en/6/6d/Death_and_Cremation.jpg
Death at a Broadcast,(1934),71 min,"Comedy, Crime, Mystery",5.9,When an actor is murdered at the BBC Inspector Gregory finds he has many suspects to choose from.,"['Reginald Denham', '| ', '    Stars:', 'Ian Hunter, ', 'Austin Trevor, ', 'Lilian Oldland, ', 'Henry Kendall']",323,Pelicula,71.0,Comedy,71.0,https://image.tmdb.org/t/p/w500/kqixvlZCL2QMW6D7zsGHsG4assW.jpg
Death by Magic,(2018),35 min,Reality-TV,6.1,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.","['Troy Dillinger, ', 'Ebonie Marie, ', 'L.A. James, ', 'Drummond Money-Coutts']",656,Serie,35.0,Reality-TV,35.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Death_By_Magic_text_logo.png/250px-Death_By_Magic_text_logo.png
Death to 2020,(2020 TV Special),70 min,Comedy,6.8,Take a look back at the mad glory of the year 2020 in this comedic retrospective.,"['Al Campbell, ', 'Alice Mathias', '| ', '    Stars:', 'Samuel L. Jackson, ', 'Hugh Grant, ', 'Lisa Kudrow, ', 'Kumail Nanjiani']","38,711",Serie,70.0,Comedy,70.0,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Death_to_2020.png/250px-Death_to_2020.png
Death to 2021,(2021 TV Special),60 min,Comedy,6.3,This comedic retrospective mixes archival footage and scripted sketches as it revisits all the dread and occasional delight that 2021 had to offer.,"['Jack Clough, ', 'Josh Ruben', '| ', '    Stars:', 'Hugh Grant, ', 'Joe Keery, ', 'William Jackson Harper, ', 'Lucy Liu']","14,757",Serie,60.0,Comedy,60.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Death_to_2021.png/250px-Death_to_2021.png
Debt Collectors,(2020),97 min,"Action, Comedy",5.8,"A pair of debt collectors are thrust into an explosively dangerous situation, chasing down various lowlifes while also evading a vengeful kingpin. -Samuel Goldwyn Films-","['Jesse V. Johnson', '| ', '    Stars:', 'Scott Adkins, ', 'Louis Mandylor, ', 'Vladimir Kulich, ', 'Marina Sirtis']","4,467",Pelicula,97.0,Action,97.0,https://image.tmdb.org/t/p/w500/tGgCTPrWqyyUpfXVXETBmmOQdHr.jpg
Deca-Dence,(2020),23 min,"Animation, Action, Adventure",7.0,"Humanity was driven to the brink of extinction by unknown life forms Gadoll. Until one day, Natsume, a girl who dreams of becoming a warriors meets Kaburagi, an armor repairman. They will shake the future of this world.","['Katsuyuki Konishi, ', 'Tomori Kusunoki, ', 'Kôsuke Toriumi, ', 'Eri Kitamura']","1,237",Serie,23.0,Animation,23.0,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Deca-Dence_Vis_main.jpg/250px-Deca-Dence_Vis_main.jpg
Decoding Deepak,(2012),83 min,Documentary,5.5,"Deepak Chopra's son, Gotham, spends a year traveling with this father in an attempt to resolve the spiritual icon he is to the world with the man known to his family.","['Gotham Chopra', '| ', '    Stars:', 'Deepak Chopra, ', 'Gotham Chopra']",127,Pelicula,83.0,Documentary,83.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Decoupled,(2021– ),30 min,"Comedy, Drama",7.9,"Follows a writer and his wife who announce their divorce with a party, which ends up exposing other absurd relationships in their world.","['Madhavan, ', 'Surveen Chawla, ', 'Sonia Rathee, ', 'Dilnaz Irani']","7,566",Serie,30.0,Comedy,30.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Deep,(2021),101 min,"Drama, Mystery, Sci-Fi",4.8,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control and must find a way out before it's too late.,"['Sita Likitvanichkul, ', 'Jetarin Ratanaserikiat, ', 'Apirak Samudkidpisan, ', 'Thanabodee Uawithya, ', 'Adirek Wattaleela', '| ', '    Stars:', 'Panisara Rikulsurakan, ', 'Kay Lertsittichai, ', 'Supanaree Sutavijitvong, ', 'Krit Jeerapattananuwong']","1,483",Serie,101.0,Drama,101.0,https://image.tmdb.org/t/p/w500/tfpJqV97nTgoHQGplkZkUod0joM.jpg
Deep Trouble,(2001 TV Movie),49 min,,8.0,"For years man has ploughed the ocean in search of food and riches, but now we may be about to use this valuable asset, such is the intolerable strain we have inflicted. Deep Trouble is presented by Martha Holmes.",['Pierce Brosnan'],359,Pelicula,49.0,,49.0,https://image.tmdb.org/t/p/w500/xrHZ5wD8Y5hzl31p60CLtC20LOY.jpg
Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,(2017 TV Special),66 min,Comedy,7.9,"Dave Chappelle gives his stand about racially charged run-ins, celebrity scandals and fatherly dilemmas in his stand-up set at Austin's Moody Theater.","['Stan Lathan', '| ', '    Stars:', 'Dave Chappelle, ', 'Morgan Freeman']","11,654",Serie,66.0,Comedy,66.0,https://image.tmdb.org/t/p/w500/jaHuxnzJy616w4Muv2NxZgQ9fUu.jpg
Deepa & Anoop,(2022– ),25 min,"Animation, Adventure, Comedy",8.6,"Follows the adventures of Deepa and her best friend, Anoop, and how they solve the simplest of problems with the most imaginative solutions.","['Pavan Bharaj, ', 'Ulka Simone Mohanty, ', 'Adam Nurada, ', 'Ana Sani']",42,Serie,25.0,Animation,25.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Deepwater Horizon,(2016),107 min,"Action, Drama, History",7.1,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.","['Peter Berg', '| ', '    Stars:', 'Mark Wahlberg, ', 'Kurt Russell, ', 'Douglas M. Griffin, ', 'James DuMont']","168,678",Pelicula,107.0,Action,107.0,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Deepwater_Horizon.jpg/310px-Deepwater_Horizon.jpg
Def Comedy Jam 25,(2017 TV Special),80 min,"Documentary, Comedy",6.6,"Def Comedy Jam 25 celebrates the impact and legacy of the groundbreaking HBO comedy series Def Comedy Jam, which debut 25-years ago running from 1992 to 1997. Def Comedy Jam 25 celebrates ...                See full summary »","['Louis J. Horvitz', '| ', '    Stars:', 'Dave Chappelle, ', 'Tiffany Haddish, ', 'Steve Harvey, ', 'Bill Bellamy']","1,122",Serie,80.0,Documentary,80.0,https://image.tmdb.org/t/p/w500/n4NtEw3QcdKAwYGeastBjyTNy9b.jpg
Defcon 2012,(2010),92 min,Sci-Fi,1.7,"On October 30, 2009 an independent filmmaker and his cast and crew are reported missing a month before the release of their controversial film predicting the end of the world. Authorities ...                See full summary »","['R. Christian Anderson', '| ', '    Stars:', 'Shy Pilgreen, ', 'Dan Gruenberg, ', 'Brian Neil Hoff, ', 'Thema Johannsen']",407,Pelicula,92.0,Sci-Fi,92.0,https://image.tmdb.org/t/p/w500/dr58SmiUHXg9R7532Pr55DVf5k.jpg
Defendant,(2017),70 min,"Crime, Drama, Mystery",8.2,"Park Jeong Woo is a prosecutor at Seoul Central District Prosecutors' Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jeong Woo has ...                See full summary »","['Seong Ji, ', 'Ki-joon Uhm, ', 'Jo Jae-yoon, ', 'Rin-Ah Shin']","1,553",Pelicula,70.0,Crime,70.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Definition Please,(2020),91 min,"Comedy, Drama",5.6,A former Scribbs Spelling Bee champion must reconcile with her estranged brother when he returns home to help care for their sick mother.,"['Sujata Day', '| ', '    Stars:', 'Katrina Bowden, ', 'LeVar Burton, ', 'Eugene Byrd, ', 'Anna Khaja']",176,Pelicula,91.0,Comedy,91.0,https://image.tmdb.org/t/p/w500/f4GxQdtzxML85FiVjSFhERclami.jpg
Degrassi: Next Class,(2016–2017),30 min,"Drama, Romance",6.8,"Degrassi: Next Class follows the lives of the students from Degrassi Community School, a fictional high school in Toronto.","[""Na'ku'set Gould, "", 'Amanda Arcuri, ', 'Sara Waisglass, ', 'Ehren Kassam']","3,360",Serie,30.0,Drama,30.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/DegrassiNextClassLogo2.png/250px-DegrassiNextClassLogo2.png
Deidra & Laney Rob a Train,(2017),92 min,"Comedy, Crime, Drama",6.0,"After their mother ends up in jail, two sisters turn to train robbery in order to support their family.","['Sydney Freeland', '| ', '    Stars:', 'Ashleigh Murray, ', 'Rachel Crow, ', 'Lance Gray, ', 'Danielle Nicolet']","1,934",Serie,92.0,Comedy,92.0,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Deidra_%26_Laney_Rob_a_Train.jpg/250px-Deidra_%26_Laney_Rob_a_Train.jpg
Delete,(2013),180 min,"Action, Drama, Sci-Fi",5.4,A reporter and a young hacker uncover an artificial intelligence which has become sentient. It has one goal. Self preservation. Humans are trying to destroy it. So it's 'it' or them.,"['Keir Gilchrist, ', 'Erin Karpluk, ', 'Ryan Robbins, ', 'Gil Bellows']","1,321",Serie,180.0,Action,180.0,https://image.tmdb.org/t/p/w500/9g5WKJ9iOd8pkaTZUVqLTLE7Xxw.jpg
Delhi Crime,(2019– ),50 min,"Crime, Drama",8.5,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.","['Shefali Shah, ', 'Rajesh Tailang, ', 'Rasika Dugal, ', 'Anurag Arora']","22,337",Serie,50.0,Crime,50.0,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Title_screen_for_the_Netflix_series%2C_Delhi_Crime.png/250px-Title_screen_for_the_Netflix_series%2C_Delhi_Crime.png
Delicious Romance,(2021– ),35 min,"Comedy, Romance",7.6,The show focuses on the love and lives of three females.,"['Chun Li, ', 'Hanyun Zhang, ', 'Wang Ju, ', 'Dongqin Liu']",34,Serie,35.0,Comedy,35.0,https://image.tmdb.org/t/p/w500/bByK1UZR0IU64Jn5Lxq9W0iSzGe.jpg
